ชื่อย่อ,Company Name,ชื่อบริษัท,กลุ่มอุตสาหกรรม,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
LPN,L.P.N. DEVELOPMENT PUBLIC COMPANY LIMITED,บริษัท แอล.พี.เอ็น.ดีเวลลอปเมนท์ จำกัด (มหาชน),Property & Construction,,,,Yes,Yes,Yes,Yes,,Yes,Yes
M-CHAI,MAHACHAI HOSPITAL PUBLIC COMPANY LIMITED,บริษัท โรงพยาบาลมหาชัย จำกัด (มหาชน),Services,AAA,AAA,Yes,Yes,Yes,Yes,,,,
MAJOR,MAJOR CINEPLEX GROUP PUBLIC COMPANY LIMITED,บริษัท เมเจอร์ ซีนีเพล็กซ์ กรุ้ป จำกัด (มหาชน),Services,AA,AA,Yes,Yes,Yes,,,,,
MBK,MBK PUBLIC COMPANY LIMITED,บริษัท เอ็ม บี เค จำกัด (มหาชน),Property & Construction,A,,,,,,,,,
MC,MC GROUP PUBLIC COMPANY LIMITED,บริษัท แม็คกรุ๊ป จำกัด (มหาชน),Services,AAA,AA,,,,,,,,
MEGA,MEGA LIFESCIENCES PUBLIC COMPANY LIMITED,บริษัท เมก้า ไลฟ์ไซแอ็นซ์ จำกัด (มหาชน),Services,A,A,Yes,,,,,,,
MFC,MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),Financials,A,,,,,,,,,
MFEC,MFEC PUBLIC COMPANY LIMITED,บริษัท เอ็ม เอฟ อี ซี จำกัด (มหาชน),Technology,AAA,AA,,,,,,,,
MICRO,MICRO LEASING PUBLIC COMPANY LIMITED,บริษัท ไมโครลิสซิ่ง จำกัด (มหาชน),Financials,BBB,,,,,,,,,
MINT,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,บริษัท ไมเนอร์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),Services,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MODERN,MODERNFORM GROUP PUBLIC COMPANY LIMITED,บริษัท โมเดอร์นฟอร์มกรุ๊ป จำกัด (มหาชน),Consumer Products,A,,,,,,,,,
MOONG,MOONG PATTANA INTERNATIONAL PUBLIC COMPANY LIMITED,บริษัท มุ่งพัฒนา อินเตอร์แนชชั่นแนล จำกัด (มหาชน),Consumer Products,A,A,,,,,,,,
MOSHI,MOSHI MOSHI RETAIL CORPORATION PUBLIC COMPANY LIMITED,บริษัท โมชิ โมชิ รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),Services,A,,,,,,,,,
MSC,METRO SYSTEMS CORPORATION PUBLIC COMPANY LIMITED,บริษัท เมโทรซิสเต็มส์คอร์ปอเรชั่น จำกัด (มหาชน),Technology,A,A,Yes,Yes,Yes,,,,,
MTC,MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED,บริษัท เมืองไทย แคปปิตอล จำกัด (มหาชน),Financials,AAA,A,Yes,Yes,Yes,Yes,,,,
MTI,MUANG THAI INSURANCE PUBLIC COMPANY LIMITED,บริษัท เมืองไทยประกันภัย จำกัด (มหาชน),Financials,AA,,,,,,,,,
NDR,N.D. RUBBER PUBLIC COMPANY LIMITED,บริษัท เอ็น.ดี.รับเบอร์ จำกัด (มหาชน),Industrials,,A,,,,,,,,
NER,NORTH EAST RUBBER PUBLIC COMPANY LIMITED,บริษัท นอร์ทอีส รับเบอร์ จำกัด (มหาชน),Agro & Food Industry,A,A,Yes,,,,,,,
NOBLE,NOBLE DEVELOPMENT PUBLIC COMPANY LIMITED,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),Property & Construction,AAA,AA,Yes,,,,,,,
NRF,NR INSTANT PRODUCE PUBLIC COMPANY LIMITED,บริษัท เอ็นอาร์ อินสแตนท์ โปรดิวซ์ จำกัด (มหาชน),Agro & Food Industry,,A,Yes,Yes,,,,,,
NVD,NIRVANA DEVELOPMENT PUBLIC COMPANY LIMITED,บริษัท เนอวานา ดีเวลลอปเม้นท์ จำกัด (มหาชน),Property & Construction,A**,AA,Yes,Yes,,,,,,
NYT,NAMYONG TERMINAL PUBLIC COMPANY LIMITED,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),Services,AA,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
OR,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน),Resources,AAA,AAA,Yes,,,,,,,
ORI,ORIGIN PROPERTY PUBLIC COMPANY LIMITED,บริษัท ออริจิ้น พร็อพเพอร์ตี้ จำกัด (มหาชน),Property & Construction,AAA,AA,Yes,Yes,,,,,,
OSP,OSOTSPA PUBLIC COMPANY LIMITED,บริษัท โอสถสภา จำกัด (มหาชน),Agro & Food Industry,AA,AA,Yes,Yes,,,,,,
PEER,PEER FOR YOU PUBLIC COMPANY LIMITED,บริษัท เพียร์ ฟอร์ ยู จำกัด (มหาชน),Services,,A,Yes,Yes,Yes,,,,,
PAP,PACIFIC PIPE PUBLIC COMPANY LIMITED,บริษัท แปซิฟิกไพพ์ จำกัด (มหาชน),Industrials,,A,Yes,,,,,,,
PB,PRESIDENT BAKERY PUBLIC COMPANY LIMITED,บริษัท เพรซิเดนท์ เบเกอรี่ จำกัด (มหาชน),Agro & Food Industry,AAA,AA,,,,,,,,
PCC,PRECISE CORPORATION PUBLIC COMPANY LIMITED,บริษัท พรีไซซ คอร์ปอเรชั่น จำกัด (มหาชน),Industrials,A,,,,,,,,,
